text,label,label_text
We describe four patients with episodic bilateral vision impairment related exclusively to light exposure.,0,Not-Related
"However, two previous descriptions of interstitial nephritis related to treatment with TKIs, combined with this current report suggest that TKI therapy could be associated with this rare but life-threatening complication.",0,Not-Related
Two patients developed acute cholangitis and 2 patients experienced skin phototoxicity.,0,Not-Related
Atypical necrotizing scleritis after strabismus surgery.,0,Not-Related
"She also had low-grade fever, intermittent chronic abdominal pain, weight loss, polyarthralgia, and conjunctivitis.",0,Not-Related
Photosensitisation induced by clofazimine in a cat.,0,Not-Related
"However, the occurrence and management of akathisia induced by fluvoxamine have not been described.",1,Related
Potential mechanisms involved in the occurrence of ischemic colitis in patients receiving tegaserod are also discussed.,1,Related
Ticlopidine-induced aplastic anemia (TIAA) is considered very uncommon.,1,Related
Primary CNS lymphoma complicating treatment of myasthenia gravis with mycophenolate mofetil.,1,Related
Exacerbated radiodermatitis and bilateral subdural hemorrhage after whole brain irradiation combined with epidermal growth factor receptor tyrosine kinase inhibitors for brain metastases in lung cancer.,0,Not-Related
Five personal observations of an acute amnestic episode in younger individuals after intake of clioquinol are described together with three observations from the medical literature.,1,Related
"It is postulated that renal tubular damage secondary to the cumulative effects of repeated courses of aminoglycosides resulted in hypomagnesaemia, and we suggest screening for this problem by monitoring serum magnesium regularly in all patients with CF receiving multiple courses of aminoglycosides.",0,Not-Related
"Extensive hormonal evaluation was performed in a girl with adrenal carcinoma during the primary tumor stage, following adrenalectomy, during the period when metastases were evident and while on treatment with o,p'-DDD.",0,Not-Related
"Treatment with continuous intravenous naloxone infusion, lumbar catheter drainage of cerebrospinal fluid, and control of hypertension and status epilepticus resulted in an excellent outcome with return to neurological baseline.",0,Not-Related
This case report examines the possible causative factors in the development of post-surgical herpes zoster.,0,Not-Related
"Reflex sympathetic dystrophy syndrome (RSDS), which probably has a multifactorial etiology, may appear after kidney transplantation.",0,Not-Related
It is concluded that EBV-LPD should be included in the differential diagnosis in patients in whom lymphadenopathy develops after autologous stem cell rescue.,0,Not-Related
Rosiglitazone was immediately discontinued and 11 days later the man's weight stabilized to 79 kg and remained between 79 and 80 kg 2 and 3 months after discharge.,0,Not-Related
"His clinical course was uncomplicated until postoperative day 10, when he became hemodynamically compromised despite inotropic therapy (BP 88/53 mm Hg, mean HR 80 beats/min) secondary to stage IIIa rejection.",0,Not-Related
"Neutrophilic eccrine hidradenitis (NEH) is a neutrophilic dermatosis primarily affecting the eccrine glands, and most commonly seen in patients undergoing chemotherapy for treatment of a malignancy.",0,Not-Related
Cytomegalovirus ventriculoencephalitis after unrelated double cord blood stem cell transplantation with an alemtuzumab-containing preparative regimen for Philadelphia-positive acute lymphoblastic leukemia.,0,Not-Related
A mutation in the neuraminidase active site (152 Arg-->Lys) led to a 1000-fold reduction in the enzyme sensitivity to zanamivir.,0,Not-Related
"Skin prick testing several weeks later identified diamorphine as the likely causative agent, a drug overlooked initially as a potential cause.",0,Not-Related
Reactivation histoplasmosis after treatment with anti-tumor necrosis factor alpha in a patient from a nonendemic area.,0,Not-Related
The thrill of reckless driving in patients with Parkinson's disease: an additional behavioural phenomenon in dopamine dysregulation syndrome?,0,Not-Related
"Here we report on a patient with occult HBV infection, who developed HBV exacerbation after chemotherapy for diffuse large B-cell lymphoma.",0,Not-Related
"The patient completed a 10-month follow-up, maintaining a complete resolution of the treated skin lesions; however, the development of a painful hand ulcer, possibly associated with the hydroxyurea, and new skin cancers were observed at the last follow-up visit.",1,Related
"Based on a Naranjo score of 7, this episode was probably related to an interaction between acenocoumarol and econazole.",0,Not-Related
OBJECTIVE: To report the use of oral terbutaline for chronotropic support in a patient who had undergone heart transplantation.,0,Not-Related
CASE REPORTS: We report 3 patients with chronic schizophrenia who had previously stopped clozapine due to hematologic side effects.,0,Not-Related
The authors describe a case of the catatonia syndrome associated with disulfiram therapy.,1,Related
Severe leukopenia associated with mild hepatotoxicity in an HIV carrier treated with nevirapine.,1,Related
The acronym SILENT (Syndrome of Irreversible Lithium-Effectuated Neurotoxicity) has been coined recently to denote these sequelae.,0,Not-Related
This case suggests the importance of careful observation for extramedullary relapse in patients who are treated with ATRA.,1,Related
"We report a series of three patients with HCC and platelet count < 60,000/mm(3) who were successfully treated with sorafenib with no complications.",0,Not-Related
These HRCT findings were atypical compared with those of former bronchiolitis obliterans (BO) after bone marrow transplant (BMT).,0,Not-Related
Pegylated recombinant human megakaryocyte growth and development factor (PEG-rHuMGDF) and granulocyte colony-stimulating factor (G-CSF) promote haematopoietic progenitor cell maturation.,0,Not-Related
The successful treatment of autoimmune hepatitis with 6-mercaptopurine after failure with azathioprine.,0,Not-Related
Deaths occurring during clinical studies of topical minoxidil.,0,Not-Related
Methimazole-induced aplastic anemia in third exposure: successful treatment with recombinant human granulocyte colony-stimulating factor.,1,Related
"The neurological symptoms and signs were headaches, right quadrant hemianopia, dyslexia without agraphia, motor aphasia, numbness in and weakness of the right upper extremity, papilloedema and coma.",0,Not-Related
BACKGROUND: Intravenous alteplase for acute ischemic stroke is least efficacious for patients with proximal large-artery occlusions and clinically severe strokes.,0,Not-Related
A case report revealing two previously unreported adverse side effects of meprobamate and tridihexethyl chloride (Milpath) drug therapy for a spastic colon is presented.,0,Not-Related
"Delusional disorder, somatic type treated with aripiprazole--mirtazapine combination.",0,Not-Related
"The disorders were characterized by hyperandrogenism and polycystic ovaries in all cases, and were associated with weight gain and menstrual disorders in 2 of the 3 women.",0,Not-Related
Growth and adrenal suppression in asthmatic children treated with high-dose fluticasone propionate.,1,Related
"The authors suggest that in patients with corneal ulcers refractory to conventional treatment who are receiving colchicine, cessation of colchicine therapy should be considered.",1,Related
There is not enough evidence to prove the involvement of either olanzapine or hydrochlorothiazide or the interaction between them in this patient's myelodysplasia.,0,Not-Related
"After left salpingo-oophorectomy had been performed, the patient chose to terminate the pregnancy before the initiation of combination chemotherapy with bleomycin, etoposide, and cisplatin.",0,Not-Related
"We describe this syndrome, which occurred in one of our patients and was successfully treated by the administration of dexamethasone.",0,Not-Related
Both tacrolimus and nefazodone are metabolized by the cytochrome P450 (CYP) 3A4 system.,0,Not-Related
"Dapsone, a synthetic sulfone with chemical similarities to sulfapyridine, has been used for a number of years to treat leprosy and dermatitis herpetiformis.",0,Not-Related
Statin-associated myasthenia gravis: report of 4 cases and review of the literature.,1,Related
"The chemotherapeutics, including vincristine, actinomycin D, and epirubicin in case 1 and vincristine and actinomycin D in case 2, were given before the hepatotoxicity developed.",1,Related
BACKGROUND: Radiation recall pneumonitis describes a very rare reaction in a previously irradiated area of pulmonary tissue after application of pharmacological agents.,0,Not-Related
"We recommend that clinicians monitor patients for signs and symptoms of pancreatitis, including abdominal pain, during treatment with tigecycline.",1,Related
"CASE: We present here the case of a patient with protein S deficiency, who has used COCs together with anticoagulatory therapy (Phenprocoumon) after suffering from deep venous thromboses for 4 years.",0,Not-Related
CONCLUSIONS: Bosentan may significantly decrease the anticoagulant properties of warfarin.,0,Not-Related
Herein we report a severe adverse reaction to adalimumab in a 25-year-old female patient.,0,Not-Related
The case is reported of a 45-year-old woman who was being treated for chronic back and right leg pain with intrathecal morphine administered via a subcutaneous continuous-infusion device.,0,Not-Related
Hepatic infarction caused by an embolus from an atherosclerotic lesion--a case report.,0,Not-Related
We report a patient with psoriasis and HCL who was treated for 1 week with continuous intravenous infusion of 2-CdA for recurring HCL.,0,Not-Related
"We describe a 64-year-old man with diabetes, chronic kidney disease, and anemia who was treated consecutively with epoetin alfa and darbepoetin alfa and experienced a temporal reduction in A1C level to a nadir of 4.4%.",0,Not-Related
"A patient in our hospital had ventriculitis caused by coagulase-negative staphylococci, and under neuroendoscopy we obtained clear findings of granular ependymitis.",0,Not-Related
Tissue distribution of olanzapine in a postmortem case.,0,Not-Related
"Suddenly, the infant presented inconsolable crying, and then she appeared pale, hypothermic, and irritable.",0,Not-Related
"Coadministration of antidepressant agents such as nefazodone, or any other drug that inhibits the CYP3A4 isoenzyme subfamily, should be anticipated to interfere with tacrolimus metabolism.",1,Related
"He had a permanent pacemaker inserted 4 years previously for Mobitz type II AV block detected on stress electrocardiogram, which developed 1 month after initiation of lopinavir/ritonavir.",0,Not-Related
"Alertness returned over the 24 hr following by the discontinuation of BH-AC and intravenous administration of diphenylhydantoin, although she complained of intermittent headaches and visual disturbance.",0,Not-Related
"We suggest the use of esmolol for treatment of dysrhythmias secondary to caffeine toxicity; to the best of our knowledge, the use of esmolol has not been reported for this purpose.",0,Not-Related
A diagnosis of trastuzumab-induced pneumonitis was made.,1,Related
Typhlitis during second-line chemotherapy with pemetrexed in non-small cell lung cancer (NSCLC): A case report.,0,Not-Related
"Although the elimination of normeperidine is decreased as well in these patients, the ratio of normeperidine to meperidine is generally low, and the narcotic effects of meperidine usually predominate.",0,Not-Related
"The standard of care for treating schizophrenia is to first use monotherapy of adequate dosage and duration, including a trial of clozapine before adding a second agent.",0,Not-Related
He developed rhabdomyolysis with hemoglobinuria after 2 weeks of treatment.,0,Not-Related
"Based on the history and clinical features, a diagnosis of insulin-induced lipohypertrophy was made.",1,Related
Syncope in a 65-year-old woman after nitrate ingestion.,1,Related
"In animal models, cesium chloride has induced cardiac arrhythmias, including torsade de pointes.",0,Not-Related
"Because of its unusual appearance, the name serpentine supravenous fluorouracil hyperpigmentation is suggested for this entity.",0,Not-Related
This is the first report on the histopathological findings of thyroid tissue from a patient with amiodarone-induced hypothyroidism.,1,Related
Clinicians should be aware of this potential severe adverse drug reaction and therefore frequent control of hepatic enzymes is mandatory during treatment with pegvisomant.,0,Not-Related
"Moreover, treatment with immunosuppressive drugs such as cyclosporine, cisplatin, tacrolimus, and interferon-alpha can induce a condition resembling RPLS.",1,Related
Fatal hypoglycemia after cytotoxic chemotherapy: a report of two cases and a review of the literature.,0,Not-Related
"Examination revealed a very ill looking pale patient with abdominal distension, tenderness and rectal bleeding and easy bruisability.",0,Not-Related
"The first patient is undergoing hemodialysis and, though responding to sunitinib, is having significant fatigue and hypertension.",1,Related
It is suggested that the fatal stroke may have resulted from arterial spasm caused by ergotamine overdosage and possibly complicated by thrombosis.,1,Related
Acute pleuropericarditis after coronary stenting: a case report.,0,Not-Related
This is a report of a case of a 53-year-old woman undergoing treatment with Xyrem for narcolepsy.,0,Not-Related
This is the first report on the use of charcoal haemoperfusion for acute poisoning in Australia.,0,Not-Related
We treated a patient with lung cancer in whom a hypercoagulopathy was induced acutely by chemotherapy.,0,Not-Related
METHOD: We describe a successful rescue of a 46-year-old man with recurrent hepatitis C (HCV genotype 1b) using long-term interferon (IFN) and ribavirin.,0,Not-Related
Clinical activity of mTOR inhibition with sirolimus in malignant perivascular epithelioid cell tumors: targeting the pathogenic activation of mTORC1 in tumors.,0,Not-Related
"Review of this and previously reported cases indicates the need for early diagnosis of amiodarone pneumonitis, immediate withdrawal of amiodarone, and prompt but continued steroid therapy to ensure full recovery.",1,Related
CONCLUSION: It is possible that pseudophakic eyes that develop intense conjunctival hyperemia associated with ocular hypotensive lipids might be at higher risk for developing cystoid macula edema.,0,Not-Related
CASE: A perimenopausal woman was treated with acetic acid for abnormal Pap smear report (cervical intraepithelial neoplasia 1).,0,Not-Related
Thoracoscopic biopsy to confirm metastasis revealed instead fibrotic lesions apparently attributable to bleomycin or cyclophosphamide.,1,Related
Coagulation activation and fluid retention associated with the use of black cohosh: a case study.,0,Not-Related
L-asparaginase-induced pancreatitis has been reported during or closely following administration of the drug.,1,Related
Intracranial haemorrhage from a meningioma in a patient receiving aspirin prophylaxis: a case report.,1,Related
Most cases are associated with phenylpropanolamine use.,0,Not-Related
"We report a case of liver abscess caused by methicillin-resistant Staphylococcus aureus (MRSA), which developed as a complication of an infected VP shunt.",0,Not-Related
A 63-year-old African-American woman was admitted to the hospital with urosepsis and altered mental status.,0,Not-Related
"A 71-year-old woman with a prosthetic heart valve, stabilized with warfarin, had international normalized ratios (INRs) maintained between 2.5 and 3.5.",0,Not-Related
Mental nerve neuropathy as a result of hepatitis B vaccination.,1,Related
"Tests for hypercoagulable disorders revealed antithrombin deficiency (antithrombin-heparin co-factor level = 30% [normal pooled plasma activity 70%-140%]), suggesting that it played an outstanding role in the LA thrombosis.",0,Not-Related
I report a case of a previously healthy parturient who developed pneumocephalus and severe headache following the use of the loss of resistance to air (LORA) technique to identify the epidural space.,0,Not-Related
A fractured hip during electro-convulsive therapy.,0,Not-Related
The causal relationship between hepatotoxicity and methylprednisolone treatment was deemed probable in both cases.,0,Not-Related
"Recently, her serum theophylline levels had increased to the toxic range (133.2 micromol/L [24 microg/mL]) shortly after the addition of zafirlukast (Accolate, Zeneca Pharmaceuticals, Wilmington, Del) to her regimen.",1,Related
She had been diagnosed as having myotonic dystrophy by electromyographic investigations and abnormal serum creatinine phosphokinase (CPK) levels.,0,Not-Related
Ophthalmologists should be aware of the ocular side effects of IFN therapy and carefully monitor patients for the possible occurrence of hypoalbuminemia and thrombocytopenia.,1,Related
The use of methylphenidate and imipramine in Gilles de la Tourette's disease in children.,0,Not-Related
Clozapine-induced eosinophilia and switch to quetiapine in a patient with chronic schizophrenia with suicidal tendencies.,1,Related
The patient in this case report was mentally impaired and had severe drug-induced gingival enlargement.,0,Not-Related
"During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.",1,Related
This case illustrates the role of the *3 polymorphism of the cytochrome P450 CYP2C9 as an independent risk factor modulating the sensitivity of patients to the anticoagulant effect of acenocoumarol.,0,Not-Related
BACKGROUND: External beam radiation therapy often is avoided in the treatment of rhabdomyosarcoma (RMS) in young children because of the long-term sequelae.,0,Not-Related
Acetazolamide-accelerated anticonvulsant osteomalacia.,1,Related
CONCLUSIONS: The increasing prevalence of Type 2 diabetes and its treatment with metformin might result in more cases of lactic acidosis.,1,Related
We suggested that the development of hyperlipidemia was related to the carnitine deficiency.,0,Not-Related
A 24-year-old woman with type 1 neurofibromatosis receiving long-term baclofen therapy was admitted with presumed pneumonia which was successfully treated with antibiotics.,0,Not-Related
"Although weight gain often coincides with hyperglycemia in patients taking atypical antipsychotics, it does not seem to be a necessary causal factor.",0,Not-Related
Regional lipiodolized chemotherapy for cholangiocarcinoma associated with oral contraceptives.,0,Not-Related
Corneal edema recurred when the administration of amantadine was resumed.,1,Related
"Endometrial ""sarcomas"" complicating ovarian thecoma, polycystic ovarian disease and estrogen therapy.",0,Not-Related
"A 31-year-old Black male with a history of hypertension, partial seizures, and schizophrenia developed acute rigidity closely followed by severe hyperpyrexia (temperature 102 degree F), tachypnea, and tachycardia.",0,Not-Related
Leishmania infantum leishmaniasis in corticosteroid--treated patients.,1,Related
Danazol and multiple hepatic adenomas: peculiar clinical findings in an acromegalic patient.,0,Not-Related
CASE SUMMARY: A 75-year-old white man received 23.6 grams of ofloxacin over a 51-day period for epididymitis.,0,Not-Related
"I also describe agents that are used to treat common problems in PD patients, including hallucinations, orthostasis, nausea, erectile dysfunction, depression, and memory loss.",0,Not-Related
"After several days of heparin therapy, the dialyzer circuit thrombosed and the platelet count decreased to 82 x 10(3)/mm(3).",0,Not-Related
"To date, there have been no recorded cases of lichenoid drug eruptions (LDEs) caused by clinical use of the nonsteroidal anti-inflammatory drug salsalate.",0,Not-Related
The data substantiate previous findings in brain tissue from a patient with pyridoxine-dependent seizures.,0,Not-Related
We conclude peripheral neuropathy with 5-FU is rare.,1,Related
Drug-induced pericarditis mimicking Brugada syndrome.,0,Not-Related
"CLINICAL PRESENTATION: We report two cases with multiple sclerosis, who developed meningioma four and twenty years after the diagnosis of MS was made.",0,Not-Related
We recently dealt with a case of severe OHS presenting features of liver dysfunction; such a case has not been reported on before.,0,Not-Related
A reticular pattern on high resolution CT (HRCT) invariably represents significant lung pathology and is the dominant feature of irreversible fibrosis.,0,Not-Related
Severe deterioration in cognitive function and personality in five patients with long-standing diabetes: a complication of diabetes or a consequence of treatment?,0,Not-Related
"Familial, dexamethasone-suppressible, normokalemic hyperaldosteronism.",0,Not-Related
Our case shows that clinical symptoms of polymyositis improved with steroid and immunoglobulin treatment without deterioration of the hepatitis B.,0,Not-Related
When tuberculosis patients on isoniazid eat certain varieties of fish they may develop a histamine reaction.,1,Related
The second case depicts acute CNS toxicity with known fatal potential.,0,Not-Related
CONCLUSION: This experience indicates that cetuximab can be continued in patients who experience infusion reactions.,0,Not-Related
Unrecognized pre-existing renal insufficiency (CKD Stage 2 - 3) and the continuation of spironolactone were identified as predisposing risk factors.,0,Not-Related
"We further used immunohistochemistry (IHC) to examine the relative role of platelet-derived growth factor-B (PDGF-B), insulin-like growth factor I (IGF-I), transforming growth factor-beta1 (TGF-beta1) and cyclooxygenase-2 (COX-2) in the pathogenesis of BCNU-related pulmonary fibrosis.",1,Related
"Children with acute lymphoblastic leukemia (ALL), treated with L-asparaginase are at risk for cerebral thrombosis or hemorrhage because of coagulation protein deficiencies.",1,Related
"CONCLUSIONS: This observation of ""on-off"" risperidone treatment suggests that risperidone may have worsened both psychiatric and physical manifestations of the mitochondrial disorder in this adolescent.",1,Related
Use of portable blood analyser in prehospital care should be considered in case of suspected massive poisoning by ethylene glycol.,0,Not-Related
We report a case of intentional self-poisoning with tiagabine.,0,Not-Related
"Therapy with pyrimethamine, sulfadiazine and folinic acid resulted in total lesion healing although central vision was lost.",0,Not-Related
"CONCLUSIONS: We present 2 patients allergic to cloxacillin with normal tolerance to other betalactam antibiotics, confirming that cross-reactivity among these antibiotics seems to be uncommon.",0,Not-Related
Cholesterol microembolization and stable renal function with continued anticoagulation.,0,Not-Related
Tuberculous uveitis after treatment with etanercept.,1,Related
Only after early oral and maxillofacial review and taking a thorough family history was C1 esterase-inhibitor deficiency diagnosed.,0,Not-Related
"DISCUSSION: Renal elimination is not a significant pathway of elimination for anastrozole, clearance of anastrozole is unchanged even in severe renal impairment.",0,Not-Related
The increasing prevalence of methamphetamine abuse and the severity of the associated ulcers should alert ophthalmologists to the problem of methamphetamine-related keratitis.,1,Related
Hormone replacement therapy and late-life mania.,0,Not-Related
"As far as we know, this is the first case report of acute hemorrhagic gastritis associated with AZ intoxication.",1,Related
Naproxen is a commonly used nonsteroidal anti-inflammatory drug (NSAID) whose side effects include tinnitus and transient hearing loss.,1,Related
Two young male patients with severe erythrodermic psoriasis and pustular episodes have both been successfully treated with a combination of methotrexate and etretinate for a period of 21/2 years.,0,Not-Related
"2) To perform a review of the published cases of visceral leishmaniasis and anti-TNF-alpha therapy, and cases of coexisting leishmaniasis and macrophagic activation syndrome by search in PubMed (period 1991-2008).",0,Not-Related
We describe a 16-year-old girl with metastatic hepatocellular carcinoma who experienced cesium-induced QT-interval prolongation after the start of a cesium chloride-based alternative treatment regimen.,0,Not-Related
Administration of a large nesiritide bolus dose in a pediatric patient: case report and review of nesiritide use in pediatrics.,0,Not-Related
"A woman, aged 39 years, presented with a localized, painful, pustular eruption of the neck, scalp, and finger of five years' duration.",0,Not-Related
The association of phenothiazine overdose and respiratory distress syndrome merits consideration.,1,Related
"A pharmacokinetic interaction between the selective serotonin reuptake inhibitor citalopram and a tricyclic antidepressant, clomipramine, was noted in a patient treated for major depression and obsessive-compulsive disorder.",0,Not-Related
Probable loop diuretic-induced pancreatitis in a sulfonamide-allergic patient.,0,Not-Related
We report what is to the best of our knowledge the first case of multifocal osteomyelitis following disseminated infection in a patient after haematopoietic stem cell transplantation.,0,Not-Related
Systemic venous thrombosis after recombinant factor VIIa in the control of bleeding after cardiac surgery.,0,Not-Related
Verapamil is widely used for the termination of paroxysmal supraventricular tachycardia (PSVT) with little proarrhythmic effect.,1,Related
Ezetimibe is a lipid-lowering agent that inhibits the intestinal absorption of cholesterol and other related phytosterols.,0,Not-Related
An unusual case of Lafora body disease.,0,Not-Related
"The first patient, a 9-year-old girl, had severe panuveitis complicated by traction retinal detachment, eventually requiring vitrectomy.",0,Not-Related
The 5 patients had severe renovascular disease which might thus represent a significant risk factor in the development of captopril-induced acute renal failure.,1,Related
"Three patients with life-threatening manifestations of systemic lupus erythematosus (SLE), unresponsive to conventional high-dose corticosteroid and/or immunosuppressive therapy were treated with intravenous polyspecific IgG (IVIG).",0,Not-Related
Patients were assessed weekly during CAP-XRT and q 3 weeks during CAP alone.,0,Not-Related
Management of a large organized intraatrial catheter-tip thrombus in a child with acquired immunodeficiency syndrome using escalating tissue plasminogen activator infusions.,0,Not-Related
"Subsequent use of pamidronate was associated with milder inflammation in the same eye that eventually resolved with continued monthly infusions, indicating the possibility of immunologic tolerance.",0,Not-Related
There has been no literature which reports a case of interstitial lung disease associated with sorafenib.,0,Not-Related
"However, the use of lithium should be avoided with any patient who is purging, since it may exacerbate the loss of intracellular potassium, thereby increasing the risk of cardiac toxicity.",1,Related
We report 3 cases in whom aspirin was indicated for secondary prophylaxis of myocardial infarction but in whom a remote history of an untoward reaction to it prevented its initial use.,0,Not-Related
Spectral domain optical coherence tomography and angiographic findings in central serous chorioretinopathy complicated by bilateral nonrhegmatogenous retinal detachment associated with systemic corticosteroids.,0,Not-Related
Central serous chorioretinopathy developed in 2 cases of retrobulbar neuritis during systemic treatment with corticosteroids.,0,Not-Related
Patients should be informed about the risk of osteonecrosis when taking dexamethasone as an antiemetic drug.,1,Related
CASE SUMMARY: A 21-year-old African American male with schizophrenia came to our medical intensive care unit from the crisis intervention unit (CIU).,0,Not-Related
"One other case of tocolysis-induced vulvar edema has been reported, as have five cases of postpartum vulvar edema, associated with an 80% maternal mortality rate.",0,Not-Related
"Infiltrates, hemorrhages and macular edema present preoperatively dissolved over a period of six months.",0,Not-Related
We describe two women who developed HUS after MMC therapy and presented massive pulmonary bleeding.,1,Related
Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.,1,Related
Patients who present to the Emergency Department after ingestion of excessive amounts of suflonylurea medications often have hypoglycemia refractory to dextrose administration.,0,Not-Related
Endovascular treatment of renal artery thrombosis caused by umbilical artery catheterization.,0,Not-Related
"In this case of CPM, blindness was encountered and was thought to be ""hysterical."" The blindness went away after four months.",0,Not-Related
We discuss a variety of bronchopulmonary complications of IBD and their association with sulfasalazine.,1,Related
"To the best of our knowledge, this is the first report of an association between sunitinib and gynaecomastia.",0,Not-Related
"The typical fluoxetine-induced symptoms of restlessness, constant pacing, purposeless movements of the feet and legs, and marked anxiety were indistinguishable from those of neuroleptic-induced akathisia.",1,Related
"RESULTS: To date, 13 patients with chronic hepatitis B infection treated with TNF-alpha inhibitors have been reported: 11 with infliximab and 2 with etanercept.",0,Not-Related
Serotonin syndrome in the perioperative period.,0,Not-Related
"Seizures were controlled by the anticonvulsive agent Dilantin (Pfizer, Khet Klongtoey, Bangkok) and she returned home without any permanent neurologic deficits.",0,Not-Related
Accidental ingestion and aspiration of hydrocarbons in children are common.,0,Not-Related
"We describe 2 patients with cutaneous lupus erythematosus who developed severe dapsone reaction after low dose therapy, with a fatal outcome in one.",1,Related
PURPOSE: Utilization of lead-contaminated opium may lead to severe motor neuron impairment and quadriplegia.,0,Not-Related
We report the case of a 21-year-old female patient with dapsone hypersensitivity syndrome.,1,Related
We describe a case of delayed onset HIT with resulting massive pulmonary embolism postcardiac surgery that was successfully managed with lepirudin.,0,Not-Related
AML/MDS occurred in 3/1374 CLL patients seen at a single institution between 1972 and 1992.,0,Not-Related
An adverse drug reaction (ADR) induced by fluoxetine was suspected and fluoxetine treatment was discontinued.,0,Not-Related
Polymorphic ventricular tachycardia (PVT) is a form of ventricular tachycardia characterized by QRS complexes that seem to change direction during the tachycardia.,0,Not-Related
Myoglobinuria in boys with Duchenne muscular dystrophy on corticosteroid therapy.,0,Not-Related
Improvement in cholestasis associated with total parenteral nutrition after treatment with an antibody against tumour necrosis factor alpha.,0,Not-Related
Portal vein thrombosis responded to thrombolytic infusion into the superior mesenteric artery.,0,Not-Related
"Within hours of the intravenous thiamine, her hypotension resolved.",0,Not-Related
Six patients with chronically recurrent oculogyric crises (OGC) are reported.,0,Not-Related
Severe hyperphosphatemia associated with tumor lysis in a patient with T-cell leukemia.,0,Not-Related
"Blocking cytotoxic T lymphocyte-associated antigen-4 (CTLA-4) has recently been proposed as a strategy to enhance cell-mediated immune responses to cancer, and clinical trials have demonstrated that anti-CTLA-4 therapy can produce durable outcomes with different response patterns than cytotoxic chemotherapy.",0,Not-Related
A 54-year-old woman had seizures and a focal neurologic deficit associated with hyponatremia induced by a thiazide diuretic.,0,Not-Related
"Two weeks after the intervention she developed a symptomatic hypercalcemia of 3.57 mmol/L which was resistant to several measures including lowering the calcium concentration in the dialysate, withdrawing all vitamin D and calcium supplementation and the administration of calcitonin.",0,Not-Related
Immunosuppression elicited by the extensive administration of prednisolone was suspected for the initiation of the generalized mite infestation.,1,Related
CONCLUSION: Topical thiotepa appeared to be an effective treatment for recurrent corneal haze following myopic PRK.,0,Not-Related
His AFP was initially 9828 microg/L and rapidly dropped to 5597 microg/L in ten days after oral sorafenib treatment.,0,Not-Related
AP-ROP in an infant with minimal oxygen exposure.,0,Not-Related
The infant's fractional excretion of sodium was very low (0.5%) pointing for a severe vasoconstrictive mechanism involved.,0,Not-Related
The evidence that 5-azacytidine stimulates the production of Hb F and F cells in baboon and man is reviewed.,0,Not-Related
"No patients in group 1 had marked bridging fibrosis or cirrhosis, compared with 4 of 10 patients in group 2.",0,Not-Related
To characterize the relationship between TPO levels and platelet counts in this setting we serially measured both parameters over the entire treatment period of patients receiving multicycle polychemotherapy.,0,Not-Related
Hypokalemia after normal doses of neubulized albuterol (salbutamol).,1,Related
"Reviewing the literature, another eight cases of acute leukemia after cytotoxic treatment for nonmalignant disease in childhood have been reported.",0,Not-Related
"As far as we know, this is the first case report of acute hemorrhagic gastritis associated with AZ intoxication.",1,Related
"This use for vancomycin, however, has not been studied in the laboratory to evaluate possible toxicities and side effects.",0,Not-Related
PURPOSE: To describe spectral-domain optical coherence tomography (SD-OCT) and adaptive optics (AO) imaging in hydroxychloroquine retinal toxicity.,1,Related
"Intradiscal injection of triamcinolone hexacetonide for acute, subacute, and chronic sciatica.",0,Not-Related
Two patients with paroxysmal nocturnal hemoglobinuria (PNH) and parvovirus B19 (PVB19) infection are reported.,0,Not-Related
"The common risk factor of both of these two drug-induced ILDs is idiopathic interstitial pneumonia, but ILD in a patient with radiation fibrosis has not been previously reported.",0,Not-Related
"Signs of ischemia, including mottling of skin and painful extremities, preceded the development of the characteristic electrolyte abnormalities and cardiac arrhythmias.",0,Not-Related
"Despite the low dosage of warfarin, international normalized ratio (INR) was markedly elevated from 1.15 to 11.28 for only 4 days, and bleeding symptoms concurrently developed.",1,Related
PURPOSE: We report an unusual paradoxical effect of brimonidine.,1,Related
This case also extends the clinical spectrum of cerebral sinus thrombosis to include recurrent transient ischemic attacks alternating with seizures.,0,Not-Related
Mecamylamine in Tourette's syndrome: a two-year retrospective case study.,0,Not-Related
A case of pheochromocytoma with renal artery stenosis and post-surgical watery diarrhea.,0,Not-Related
"In random trials of id injection, observation under clinical and laboratory conditions showed improvement in 63% (17/27) of the patients treated for 6 months with appropriate doses of di-Lex (III3FucnLc4), and in 72% (31/43) of those treated with an identical protocol for TCA.",0,Not-Related
A follow-up MRI obtained immediately after his cerebral infarction demonstrated notable decrease in the size of the cysts and more prominent enhancement around the peripheral margins of the cysts and the major vessels in comparison with the initial MRI.,0,Not-Related
Possible recurrence of amiodarone pulmonary toxicity following corticosteroid therapy.,1,Related
"When measured, the serum lithium level had increased 4-fold during acyclovir therapy.",1,Related
OBJECTIVE: To report a case of spontaneous hemothorax following anticoagulation with low-molecular-weight heparin (LMWH) for the management of suspected pulmonary embolism.,0,Not-Related
Rhabdomyolysis developed with acute renal failure from the probable interaction between these drugs.,0,Not-Related
A case is presented in which amiodarone was administered to suppress paroxysmal atrial fibrillation in a patient with an idiopathic cardiomyopathy.,0,Not-Related
